row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,spatial_identity_status,canonical_g4_descendant_count,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,pp_top1_g4_weighted,pp_top1_g3_weighted,pp_top1_cosine,pp_top1_soft_dice,pp_top2_g3_id,pp_top2_g4_weighted,pp_top3_g3_id,pp_top1_top2_margin,pp_top1_top2_ratio,pp_association_effective_targets,hard_top1_g3_id,hard_top1_name,hard_top1_coverage,hard_top2_g3_id,hard_top2_coverage,hard_top3_g3_id,hard_top3_coverage,hard_top1_top2_margin,hard_top1_top2_ratio,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern,qa_flags,metric_version
311,FRONTAL_TO_OCCIPITAL_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_TO_OCCIPITAL_GAPMAP,Frontal-to-Occipital (GapMap) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000159,PCun_L_4_3,5808.06813643,0.13863466,0.68192137,0.39281705,0.28703744,NGIQ-BR-00000161,0.12617123,NGIQ-BR-00000181,0.01246343,1.0988,16.6056,NGIQ-BR-00000161,PCun_L_4_4,0.13499942,NGIQ-BR-00000159,0.11739783,NGIQ-BR-00000201,0.09020429,0.01760159,1.1499,0.82570934,0.17429066,13.2152,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
381,TEMPORAL_TO_PARIETAL_GAPMAP_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_TEMPORAL_TO_PARIETAL_GAPMAP,Temporal-to-Parietal (GapMap) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000007,MTG_L_4_1,5114.74951512,0.07949266,0.68957,0.377663,0.1741674,NGIQ-BR-00000097,0.07774303,NGIQ-BR-00000095,0.00174963,1.0225,24.1896,NGIQ-BR-00000005,STG_L_6_1,0.07416997,NGIQ-BR-00000095,0.06777227,NGIQ-BR-00000115,0.0666824,0.00639771,1.0944,0.9206617,0.0793383,21.2742,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
118,AREA_HOC2_V2_18_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18,"Area hOc2 (V2, 18) right",right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000196,MVOcC_R_5_2,1383.34986406,0.16568421,0.1849274,0.42806407,0.42787756,NGIQ-BR-00000198,0.15419331,NGIQ-BR-00000016,0.01149091,1.0745,8.7593,NGIQ-BR-00000208,LOcC_R_4_3,0.16253974,NGIQ-BR-00000196,0.15674782,NGIQ-BR-00000016,0.14968501,0.00579192,1.037,0.9574574,0.0425426,8.1174,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
48,AREA_6V2_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V2_PRECG,Area 6v2 (PreCG) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000036,MFG_R_7_2,1355.88545816,0.31153357,0.20376094,0.54210214,0.50523856,NGIQ-BR-00000080,0.28428667,NGIQ-BR-00000044,0.0272469,1.0958,5.7783,NGIQ-BR-00000080,PrG_R_6_6,0.39825486,NGIQ-BR-00000036,0.29576176,NGIQ-BR-00000072,0.04536571,0.10249311,1.3465,0.84735569,0.15264431,3.6882,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
256,AREA_STS1_STS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_STS1_STS,Area STS1 (STS) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000094,STG_R_6_6,1254.86615343,0.42759699,0.22626575,0.74650951,0.68242446,NGIQ-BR-00000100,0.23440088,NGIQ-BR-00000090,0.19319611,1.8242,5.1539,NGIQ-BR-00000100,MTG_R_4_4,0.55727487,NGIQ-BR-00000094,0.2435797,NGIQ-BR-00000134,0.04966388,0.31369518,2.2879,0.90895306,0.09104694,2.8749,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
117,AREA_HOC2_V2_18_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HOC2_V2_18,"Area hOc2 (V2, 18) left",left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000197,MVOcC_L_5_3,1177.88651316,0.16577743,0.19948461,0.43603445,0.43116384,NGIQ-BR-00000207,0.16469645,NGIQ-BR-00000195,0.00108098,1.0066,9.379,NGIQ-BR-00000207,LOcC_L_4_3,0.1956661,NGIQ-BR-00000197,0.1575317,NGIQ-BR-00000195,0.14963202,0.03813441,1.2421,0.97009354,0.02990646,8.2233,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
46,AREA_6V1_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V1_PRECG,Area 6v1 (PreCG) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000044,MFG_R_7_6,1027.27247397,0.37663396,0.17347246,0.55337134,0.49893917,NGIQ-BR-00000072,0.19404913,NGIQ-BR-00000036,0.18258483,1.9409,6.7293,NGIQ-BR-00000072,PrG_R_6_2,0.36741086,NGIQ-BR-00000044,0.36382204,NGIQ-BR-00000036,0.07053452,0.00358882,1.0099,0.89480519,0.10519481,3.5677,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
32,AREA_5M_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,Area 5M (SPL) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000082,PCL_R_2_1,744.12165285,0.40253149,0.15554281,0.52399065,0.38033498,NGIQ-BR-00000158,0.31491728,NGIQ-BR-00000084,0.08761421,1.2782,5.4031,NGIQ-BR-00000158,PCun_R_4_2,0.38932568,NGIQ-BR-00000082,0.37157175,NGIQ-BR-00000142,0.05116659,0.01775393,1.0478,0.91205175,0.08794825,3.5661,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
247,AREA_SFG3_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_SFG3_SFG,Area SFG3 (SFG) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000037,MFG_L_7_3,694.39963333,0.23705516,0.07770219,0.3795114,0.32576456,NGIQ-BR-00000033,0.22147005,NGIQ-BR-00000023,0.0155851,1.0704,6.0138,NGIQ-BR-00000033,MFG_L_7_1,0.27755561,NGIQ-BR-00000037,0.27447656,NGIQ-BR-00000023,0.22267137,0.00307905,1.0112,0.81791972,0.18208028,3.5218,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
107,AREA_HIP5_IPS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP5_IPS,Area hIP5 (IPS) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000011,IPL_L_6_1,685.8208283,0.34719666,0.08057151,0.3313351,0.2213635,NGIQ-BR-00000213,0.25307312,NGIQ-BR-00000137,0.09412354,1.3719,5.1624,NGIQ-BR-00000213,LOcC_L_2_2,0.39297599,NGIQ-BR-00000011,0.36967486,NGIQ-BR-00000145,0.09187526,0.02330113,1.063,0.87857008,0.12142992,2.954,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
